,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,
,Jmag (1.22u),Hmag (1.63u),Kmag (2.19u),3.4u,4.6u,5.8u,8u,12u,22u,24u,3.6u flux,4.5u flux,5.8u flux,9u flux,12u flux,18u flux,25u flux,60u flux,65u flux,90u flux,100u flux,140u flux,160u flux,class
40,5.049,3.92,3.366,3.197,3.116,,,2.843,2.463,,,,,3.648,2.953,1.147,1.022,0.4,,,1.902,,,S-AGB
41,6.409,5.318,4.839,4.686,4.71,,,4.495,4.234,,,,,0.8413,0.7802,0.2018,0.4841,0.4,,,1.424,,,S-AGB
42,6.405,5.456,5.026,4.898,4.939,,,4.534,3.979,,,,,0.7657,0.6308,0.2646,0.1858,0.4,,,1.166,,,S-AGB
43,4.819,3.807,3.331,3.315,2.857,,,2.949,2.818,,,,,3.934,2.659,0.978,0.7544,0.4,,,7.328,,,S-AGB
44,4.704,3.353,2.938,1.454,1.498,,,2.328,1.976,,,,,6.605,5.769,1.979,1.944,0.41,,,1.891,,,S-AGB
45,6.4,5.29,4.543,3.888,3.745,,,3.401,2.973,,,,,2.001,1.398,0.7588,0.4014,0.4,,,2.446,,,S-AGB
46,6.282,5.159,4.655,4.44,4.401,,,4.074,3.641,,,,,1.247,1.051,0.375,0.3824,0.4,,,10.7,,,S-AGB
47,6.506,5.73,5.355,5.377,5.187,,,4.148,3.289,,,,,0.9094,1.086,0.4691,0.5203,0.4,,,1.302,,,S-AGB
48,3.395,2.101,1.675,-1.175,-0.575,,,1.109,0.842,,,,,21.459999,16.97,4.964,4.732,1.646,,0.9707,3.407,,,S-AGB
49,6.511,5.682,5.257,4.974,4.559,,,4.157,3.902,,,,,1.017,1.146,0.3999,0.3689,0.4,,,1.65,,,S-AGB
50,6.496,5.408,4.861,4.404,4.108,,,3.587,3.102,,,,,,1.291,0.533,0.4817,0.4,,,1,,,S-AGB
51,7.539,6.647,6.126,5.629,5.325,,,4.847,4.528,,,,,0.5876,0.4966,0.1996,0.25,0.4,,,1,,,S-AGB
52,4.473,3.147,2.642,1.218,1.505,,,2.203,1.746,,,,,7.553,6.052,2.136,2.401,0.8655,,0.5619,18.29,,0.4923,S-AGB
53,7.058,6.227,5.859,5.799,5.424,,,5.017,4.73,,,,,,0.3096,,0.25,0.4,,,1,,,S-AGB
54,5.351,4.4,4.118,3.976,3.404,,,2.739,2.045,,,,,3.408,3.732,1.658,1.485,0.4,,,1,,,S-AGB
55,5.308,4.402,4.058,3.874,3.662,,,3.81,3.574,,,,,1.762,1.378,0.5628,0.3839,0.4,,,6.308,,,S-AGB
56,6.438,5.538,5.129,4.974,4.745,,,4.327,3.748,,,,,0.8851,0.8313,0.3969,0.2949,0.4,,,1,,,S-AGB
57,5.132,4.185,3.669,2.594,3.226,,,3.181,2.92,,,,,3.245,2.487,,0.6661,0.4,0.1905,0.3316,1.743,2.169,1.158,S-AGB
