,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,,,
,Jmag (1.22u),Hmag (1.63u),Kmag (2.19u),3.4u,4.6u,5.8u,8u,12u,22u,24u,,J (1.22u),H (1.63u),K (2.19u),3.6u flux,4.5u flux,5.8u flux,9u flux,12u flux,18u flux,25u flux,60u flux,65u flux,90u flux,100u flux,140u flux,160u flux,8.28u,12.13u,14.65,21.34,,,class
,8.266,7.846,7.64,,,,,,,,,,,,,,,,0.0923,,0.0731,0.12,,,0.898,,,,,,,,,Post- AGB
,5.16,4.461,4.074,,,,,,,,,,,,,,,,1.29,,2.83,21.6,,,240,,,,,,,,,Post- AGB
,12.315,12.205,12.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,9.543,9.134,9.002,,,,,,,,,,,,,,,,2.49,,2.72,0.645,,,24.5,,,,,,,,,Post- AGB
,9.119,8.969,8.911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,10.014,9.491,8.874,,,,,,,,,,,,,,,,2.63,,2.76,4.34,,,39.6,,,,,,,,,Post- AGB
,8.429,7.938,7.791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,10.986,10.941,10.792,,,,,,,,,,,,,,,,0.293,,10.3,6.45,,,1.77,,,,,,,,,Post- AGB
,6.941,6.116,5.804,,,,,,,,,,,,,,,,0.484,,0.558,0.4,,,1.99,,,,,,,,,Post- AGB
,9.818,9.463,9.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,5.011,4.635,4.563,,,,,,,,,,,,,,,,0.652,,0.322,0.4,,,1.08,,,,,,,,,Post- AGB
,10.925,11.07,11.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,11.113,10.767,10.704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,14.149,14.259,14.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,6.986,6.219,6.056,,,,,,,,,,,,,,,,0.179,,0.0803,0.185,,,2.03,,,,,,,,,Post- AGB
,7.974,7.399,6.729,,,,,,,,,,,,,,,,10.7,,11,4.21,,,1.85,,,,,,,,,Post- AGB
,14.821,13.626,11.819,,,,,,,,,,,,,,,,4.95,,23.4,17.3,,,152,,,,,,,,,Post- AGB
,8.872,8.205,7.02,,,,,,,,,,,,,,,,8.88,,7.16,2.45,,,11.1,,,,,,,,,Post- AGB
,12.404,11.519,10.763,,,,,,,,,,,,,,,,2.86,,48.8,42.5,,,15.7,,,,,,,,,Post- AGB
,5.371,4.998,4.728,,,,,,,,,,,,,,,,31.3,,648,516,,,168,,,,,,,,,Post- AGB
,9.409,8.69,8.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,8.595,7.829,7.561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,10.244,9.123,7.96,,,,,,,,,,,,,,,,1.43,,0.516,0.4,,,1.56,,,,,,,,,Post- AGB
,14.02,12.949,12.325,,,,,,,,,,,,,,,,3.58,,21.9,25.3,,,61.1,,,,,,,,,Post- AGB
,7.903,7.076,5.65,,,,,,,,,,,,,,,,28.9,,26.5,7.81,,,28,,,,,,,,,Post- AGB
,9.562,9.283,8.961,,,,,,,,,,,,,,,,1.11,,0.506,0.4,,,1,,,,,,,,,Post- AGB
,10.973,10.061,8.745,,,,,,,,,,,,,,,,5.25,,28.1,31.8,,,14.4,,,,,,,,,Post- AGB
,9.787,9.092,8.895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,7.951,7.069,6.011,,,,,,,,,,,,,,,,17.4,,47.4,18.6,,,3.79,,,,,,,,,Post- AGB
,9.109,8.204,7.816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,8.51,8.336,8.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,12.906,12.989,13.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,8.276,7.609,6.705,,,,,,,,,,,,,,,,5.57,,4.66,2.11,,,1.01,,,,,,,,,Post- AGB
,9.488,9.197,9.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,9.396,8.537,8.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,5.364,5.089,4.564,,,,,,,,,,,,,,,,38.9,,17.1,3.94,,,2,,,,,,,,,Post- AGB
,10.051,9.478,8.779,,,,,,,,,,,,,,,,0.551,,0.366,0.4,,,9.4,,,,,,,,,Post- AGB
,8.756,8.117,7.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,11.36,10.902,10.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,9.18,9.111,9.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,11.286,10.737,10.322,,,,,,,,,,,,,,,,3.58,,58.7,31.8,,,10,,,,,,,,,Post- AGB
,5.7,5.338,5.075,,,,,,,,,,,,,,,,41.4,,65.3,21.4,,,8.04,,,,,,,,,Post- AGB
,11.361,11.327,11.234,,,,,,,,,,,,,,,,3.98,,19.6,2.9,,,1,,,,,,,,,Post- AGB
,11.561,10.132,8.405,,,,,,,,,,,,,,,,45.5,,33.8,10,,,2.84,,,,,,,,,Post- AGB
,4.998,4.239,3.632,,,,,,,,,,,,,,,,97.5,,54.5,13.4,,,6.04,,,,,,,,,Post- AGB
,8.243,7.926,7.736,,,,,,,,,,,,,,,,0.269,,5.23,11.2,,,3.48,,,,,,,,,Post- AGB
,11.09,11.137,11.199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,10.853,10.492,10.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,7.366,6.728,6.438,,,,,,,,,,,,,,,,45.1,,126,27.8,,,5.64,,,,,,,,,Post- AGB
,10.275,9.355,8.583,,,,,,,,,,,,,,,,4.3,,9.69,2.09,,,1.18,,,,,,,,,Post- AGB
,16.543,14.926,13.464,,,,,,,,,,,,,,,,5.06,,15.6,8.56,,,3.95,,,,,,,,,Post- AGB
,7.818,7.234,6.539,,,,,,,,,,,,,,,,10.6,,7.54,2.12,,,1.72,,,,,,,,,Post- AGB
,10.097,8.964,7.471,,,,,,,,,,,,,,,,17.5,,18,5.38,,,2.84,,,,,,,,,Post- AGB
,13.39,13.448,13.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,12.038,10.866,9.735,,,,,,,,,,,,,,,,23.6,,98.2,70.9,,,768,,,,,,,,,Post- AGB
,7.216,6.379,5.434,,,,,,,,,,,,,,,,0.437,,0.25,0.621,,,8.51,,,,,,,,,Post- AGB
,8.534,8.153,8.03,,,,,,,,,,,,,,,,0.306,,0.501,0.4,,,2.1,,,,,,,,,Post- AGB
,12.611,10.752,9.606,,,,,,,,,,,,,,,,11.2,,54.9,27.1,,,38,,,,,,,,,Post- AGB
,15.216,14.036,13.559,,,,,,,,,,,,,,,,20.8,,67.9,43.2,,,26.7,,,,,,,,,Post- AGB
,13.202,12.527,11.782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,9.422,8.495,8.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,10.408,9.963,9.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,9.908,7.929,6.209,,,,,,,,,,,,,,,,17.5,,59.8,118,,,68,,,,,,,,,Post- AGB
,11.853,10.749,10.426,,,,,,,,,,,,,,,,17.3,,89.6,54.4,,,14.7,,,,,,,,,Post- AGB
,7.87,7.859,7.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,7.773,7.493,7.366,,,,,,,,,,,,,,,,0.537,,38,55.8,,,14.8,,,,,,,,,Post- AGB
,7.183,6.6,6.236,,,,,,,,,,,,,,,,0.907,,1.83,1.79,,,17.8,,,,,,,,,Post- AGB
,4.766,4.305,3.793,,,,,,,,,,,,,,,,31.7,,37,4.66,,,33.5,,,,,,,,,Post- AGB
,10.99,10.891,10.701,,,,,,,,,,,,,,,,0.25,,2.12,1.45,,,1.41,,,,,,,,,Post- AGB
,10.752,10.005,9.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,6.557,6.019,5.396,,,,,,,,,,,,,,,,12.4,,5.69,1.29,,,7.25,,,,,,,,,Post- AGB
,10.02,10.015,9.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,8.021,7.103,6.58,,,,,,,,,,,,,,,,15,,71,30,,,43.1,,,,,,,,,Post- AGB
,8.09,7.733,7.474,,,,,,,,,,,,,,,,0.979,,0.409,5.51,,,61.2,,,,,,,,,Post- AGB
,6.976,6.675,6.336,,,,,,,,,,,,,,,,5.91,,3.48,1.06,,,2.09,,,,,,,,,Post- AGB
,8.877,8.429,7.75,,,,,,,,,,,,,,,,4.66,,4.56,1.08,,,1.25,,,,,,,,,Post- AGB
,9.929,9.362,9.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,10.154,9.327,9.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,10.367,9.789,9.376,,,,,,,,,,,,,,,,0.406,,0.232,4.01,,,62.5,,,,,,,,,Post- AGB
,12.724,11.797,11.276,,,,,,,,,,,,,,,,41.8,,211,143,,,46.5,,,,,,,,,Post- AGB
,5.1,4.776,4.501,,,,,,,,,,,,,,,,1.07,,0.626,5.42,,,124,,,,,,,,,Post- AGB
,8.955,8.228,7.983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,10.542,10.45,10.331,,,,,,,,,,,,,,,,0.287,,13.7,12.1,,,5.93,,,,,,,,,Post- AGB
,8.974,8.581,8.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,6.095,5.979,5.919,,,,,,,,,,,,,,,,6.12,,184,152,,,48.7,,,,,,,,,Post- AGB
,11.011,10.073,8.914,,,,,,,,,,,,,,,,1.54,,0.849,0.4,,,3.12,,,,,,,,,Post- AGB
,9.84,9.324,8.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,11.451,10.294,9.664,,,,,,,,,,,,,,,,2.1,,11.3,4.8,,,4.46,,,,,,,,,Post- AGB
,9,8.144,7.301,,,,,,,,,,,,,,,,4.34,,11,9.7,,,36.4,,,,,,,,,Post- AGB
,9.684,9.332,8.813,,,,,,,,,,,,,,,,0.695,,3.61,5.22,,,2.69,,,,,,,,,Post- AGB
,7.812,7.493,7.246,,,,,,,,,,,,,,,,2.12,,37.1,22.4,,,9.54,,,,,,,,,Post- AGB
,8.539,8.394,8.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,11.332,11.153,10.934,,,,,,,,,,,,,,,,1.02,,24.7,14.5,,,3.93,,,,,,,,,Post- AGB
,11.666,9.586,7.587,,,,,,,,,,,,,,,,8.43,,46.3,107,,,50.7,,,,,,,,,Post- AGB
,5.371,4.894,4.508,,,,,,,,,,,,,,,,73.9,,302,96.6,,,41,,,,,,,,,Post- AGB
,9.559,8.692,8.008,,,,,,,,,,,,,,,,1.51,,1.05,1.59,,,13.9,,,,,,,,,Post- AGB
,,,,,,,,,,,,,,,,,,,6.91,,26.1,13.3,,,6.07,,,,,,,,,Post- AGB
,7.823,7.455,7.181,,,,,,,,,,,,,,,,4.6,,1.61,3.41,,,49.9,,,,,,,,,Post- AGB
,14.473,12.828,11.546,,,,,,,,,,,,,,,,9,,29.5,20.6,,,7.19,,,,,,,,,Post- AGB
,8.501,7.831,7.466,,,,,,,,,,,,,,,,11.4,,59.1,26.6,,,30.9,,,,,,,,,Post- AGB
,9.43,8.882,8.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,17.515,16.024,15.038,,,,,,,,,,,,,,,,13.7,,85.6,64,,,19.3,,,,,,,,,Post- AGB
,13.857,10.801,8.049,,,,,,,,,,,,,,,,91.4,,92.3,55.7,,,27.3,,,,,,,,,Post- AGB
,10.274,10.017,9.54,,,,,,,,,,,,,,,,3.9,,24.2,10.1,,,2.42,,,,,,,,,Post- AGB
,12.809,11.467,10.462,,,,,,,,,,,,,,,,4.08,,16.9,33.9,,,30.7,,,,,,,,,Post- AGB
,6.723,5.952,5.509,,,,,,,,,,,,,,,,62.2,,194,41.9,,,3000,,,,,,,,,Post- AGB
,10.715,9.476,8.314,,,,,,,,,,,,,,,,5.9,,18.1,5.39,,,8.97,,,,,,,,,Post- AGB
,14.681,14.353,14.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,7.035,6.364,5.75,,,,,,,,,,,,,,,,8.25,,5.6,1.84,,,1.79,,,,,,,,,Post- AGB
,5.812,5.635,5.506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,6.917,6.026,5.75,,,,,,,,,,,,,,,,0.364,,0.351,0.619,,,2.07,,,,,,,,,Post- AGB
,8.222,8.047,7.864,,,,,,,,,,,,,,,,0.25,,7.2,20.2,,,11,,,,,,,,,Post- AGB
,6.465,6.255,6.025,,,,,,,,,,,,,,,,1.58,,0.516,0.4,,,1.35,,,,,,,,,Post- AGB
,7.805,7.513,7.435,,,,,,,,,,,,,,,,0.459,,0.382,0.4,,,1.15,,,,,,,,,Post- AGB
,9.579,8.7,8.211,,,,,,,,,,,,,,,,12.7,,45.9,15.4,,,9.22,,,,,,,,,Post- AGB
,13.51,11.41,8.807,,,,,,,,,,,,,,,,471,,1110,1040,,,340,,,,,,,,,Post- AGB
,6.183,5.488,4.777,,,,,,,,,,,,,,,,22.5,,18,6.5,,,2.44,,,,,,,,,Post- AGB
,10.167,9.033,7.584,,,,,,,,,,,,,,,,7.91,,5.68,2.19,,,12,,,,,,,,,Post- AGB
,6.743,6.323,6.133,,,,,,,,,,,,,,,,0.489,,0.379,0.405,,,5.4,,,,,,,,,Post- AGB
,9.02,8.423,8.171,,,,,,,,,,,,,,,,3.78,,15.3,5.53,,,1.67,,,,,,,,,Post- AGB
,9.172,8.271,7.088,,,,,,,,,,,,,,,,9.48,,4.12,1.54,,,2.87,,,,,,,,,Post- AGB
,8.073,7.381,6.983,,,,,,,,,,,,,,,,12.4,,14.9,4.18,,,11.5,,,,,,,,,Post- AGB
,8.722,8.364,8.137,,,,,,,,,,,,,,,,0.85,,2.93,1.39,,,9.44,,,,,,,,,Post- AGB
,10.009,9.405,9.108,,,,,,,,,,,,,,,,4.51,,9.85,3.96,,,8.01,,,,,,,,,Post- AGB
